"Time","Press","Flow","OAI","CAI","HI","SI","FL","RERA","CSR","LVT","VT","MV","IE","RR","SPOP2","PR","End"
2025-2-14 20:1:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:2:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:3:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:4:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:5:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:6:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:7:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:8:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:9:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:10:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:11:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:12:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:13:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:14:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:15:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:16:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:17:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:18:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:19:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:20:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:21:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:22:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:23:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:24:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:25:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:26:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:27:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:28:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:29:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:30:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:31:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:32:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:33:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:34:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:35:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 20:36:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
